ID	DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE
450	MayorunaJandiatuba	1425	GREEN	ikiô
451	MayorunaJandiatuba	1219	WORM	chin-chin
452	MayorunaJandiatuba	581	COME BACK	ioé
453	MayorunaJandiatuba	1571	SELL	mainé
454	MayorunaJandiatuba	1936	DEER	tcha-tchô
455	MayorunaJandiatuba	1571	SELL	mainé
456	MayorunaJandiatuba	1441	FLY (MOVE THROUGH AIR)	coáne
457	MayorunaJandiatuba	1278	VOMIT	oké
458	Mabenaro	1554	MAN	dia
459	Mabenaro	962	WOMAN	wani
460	Mabenaro	1217	FATHER	tata
461	Mabenaro	1216	MOTHER	wanti
462	Mabenaro	1289	BABY	nana
463	Mabenaro	1366	BOY	ka'abo
464	Mabenaro	1646	GIRL	iyaro
465	Mabenaro	2648	HAIR (HEAD)	iyoiña
466	Mabenaro	1256	HEAD	iyoa
467	Mabenaro	1248	EYE	ithoa
468	Mabenaro	1173	EYEBROW	iboathuna
469	Mabenaro	1540	EYELASH	ithokaguiña
470	Mabenaro	1247	EAR	ithaha
471	Mabenaro	1221	NOSE	awi
472	Mabenaro	674	MOUTH	ikwatsa
473	Mabenaro	1380	TOOTH	itsi
474	Mabenaro	1510	CHIN	ithawi
475	Mabenaro	1333	NECK	inara
476	Mabenaro	1482	SHOULDER	ibatha
477	Mabenaro	1291	BACK	ibibakwa
478	Mabenaro	1592	CHEST	thatha
479	Mabenaro	1673	ARM	ibai
480	Mabenaro	1277	HAND	imiatsa
481	Mabenaro	1303	FINGER	imi
482	Mabenaro	1297	LEG	itha
483	Mabenaro	1301	FOOT	iwatsi
484	Mabenaro	937	BIRD	waboro
485	Mabenaro	1318	CHICKEN	tawalipa
486	Mabenaro	1287	COLD	buata
487	Mabenaro	1446	COME	thiathia
488	Mabenaro	2009	DOG	niyo
489	Mabenaro	1360	DUCK	hohi
490	Mabenaro	221	FIRE	kwathi
491	Mabenaro	420	FOREST	athe
492	Mabenaro	1286	HOT	atcowa
493	Mabenaro	1252	HOUSE	ithai'i
494	Mabenaro	1250	JAGUAR	huli
495	Mabenaro	882	PARROT	kwitsa
496	Mabenaro	906	TREE	akwi
497	Mabenaro	948	WATER	eowi
498	Mabenaro	925	CASSAVA	kwavia
499	Sensi	1205	TONGUE	yáta
500	Sensi	1380	TOOTH	ku̯õdsa
