ID	DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE
599	MayorunaJandiatuba	797	TESTICLES	ovô
600	MayorunaJandiatuba	1215	THOU	aiú-dáke
601	MayorunaJandiatuba	879	COUGH	toso-sôgue
602	MayorunaJandiatuba	761	COVER	tongué
603	MayorunaJandiatuba	52	SHIVER	sacaqué
604	MayorunaJandiatuba	1150	THUNDER	avô
605	MayorunaJandiatuba	72	CLAW	tae-macán
606	MayorunaJandiatuba	1493	ONE	aipá
607	MayorunaJandiatuba	1498	TWO	dauét
608	MayorunaJandiatuba	492	THREE	inguá
609	MayorunaJandiatuba	1500	FOUR	uát
610	MayorunaJandiatuba	1500	FOUR	uát
611	MayorunaJandiatuba	493	FIVE	in-uá
612	MayorunaJandiatuba	72	CLAW	mainezcin
613	MayorunaJandiatuba	1838	NAVEL	nitchón
614	MayorunaJandiatuba	592	PISS	puicón
615	MayorunaJandiatuba	1229	OLD	maezço
616	MayorunaJandiatuba	960	WIND	anhán
617	MayorunaJandiatuba	960	WIND	iu-né
618	MayorunaJandiatuba	1837	VULVA	tchipi
619	MayorunaJandiatuba	1425	GREEN	ikiô
620	MayorunaJandiatuba	1219	WORM	chin-chin
621	MayorunaJandiatuba	581	COME BACK	ioé
622	MayorunaJandiatuba	1571	SELL	mainé
623	MayorunaJandiatuba	1936	DEER	tcha-tchô
624	MayorunaJandiatuba	1571	SELL	mainé
625	MayorunaJandiatuba	1441	FLY (MOVE THROUGH AIR)	coáne
626	MayorunaJandiatuba	1278	VOMIT	oké
627	Mabenaro	1554	MAN	dia
628	Mabenaro	962	WOMAN	wani
629	Mabenaro	1217	FATHER	tata
630	Mabenaro	1216	MOTHER	wanti
631	Mabenaro	1289	BABY	nana
632	Mabenaro	1366	BOY	ka'abo
633	Mabenaro	1646	GIRL	iyaro
634	Mabenaro	2648	HAIR (HEAD)	iyoiña
635	Mabenaro	1256	HEAD	iyoa
636	Mabenaro	1248	EYE	ithoa
637	Mabenaro	1173	EYEBROW	iboathuna
638	Mabenaro	1540	EYELASH	ithokaguiña
639	Mabenaro	1247	EAR	ithaha
640	Mabenaro	1221	NOSE	awi
641	Mabenaro	674	MOUTH	ikwatsa
642	Mabenaro	1380	TOOTH	itsi
643	Mabenaro	1510	CHIN	ithawi
644	Mabenaro	1333	NECK	inara
645	Mabenaro	1482	SHOULDER	ibatha
646	Mabenaro	1291	BACK	ibibakwa
647	Mabenaro	1592	CHEST	thatha
648	Mabenaro	1673	ARM	ibai
649	Mabenaro	1277	HAND	imiatsa
650	Mabenaro	1303	FINGER	imi
651	Mabenaro	1297	LEG	itha
652	Mabenaro	1301	FOOT	iwatsi
653	Mabenaro	937	BIRD	waboro
654	Mabenaro	1318	CHICKEN	tawalipa
655	Mabenaro	1287	COLD	buata
656	Mabenaro	1446	COME	thiathia
657	Mabenaro	2009	DOG	niyo
658	Mabenaro	1360	DUCK	hohi
659	Mabenaro	221	FIRE	kwathi
660	Mabenaro	420	FOREST	athe
661	Mabenaro	1286	HOT	atcowa
662	Mabenaro	1252	HOUSE	ithai'i
663	Mabenaro	1250	JAGUAR	huli
664	Mabenaro	882	PARROT	kwitsa
665	Mabenaro	906	TREE	akwi
666	Mabenaro	948	WATER	eowi
667	Mabenaro	925	CASSAVA	kwavia
668	Sensi	1205	TONGUE	yáta
669	Sensi	1380	TOOTH	ku̯õdsa
670	Sensi	1248	EYE	ítso
671	Sensi	1247	EAR	helīxi
672	Sensi	1256	HEAD	oma'tsi
673	Sensi	1277	HAND	epīpi
674	Sensi	948	WATER	enipáxa
675	Sensi	221	FIRE	tši
676	Sensi	1343	SUN	varīxi
677	Sensi	1313	MOON	puönĕ
678	Sensi	1228	EARTH (SOIL)	ku̯áhi
679	Sensi	857	STONE	mátsi
680	Sensi	1252	HOUSE	puôxê
681	Sensi	3653	COOKING POT	tšapuöxe
682	Sensi	1200	HUSBAND	mankõ
683	Sensi	962	WOMAN	tšinán
684	Sensi	1250	JAGUAR	ináwa
685	Sensi	925	CASSAVA	óma
686	Sensi	506	MAIZE	šinki
687	Sensi	1493	ONE	nawwištikoe
688	Sensi	1498	TWO	rawué
689	Sensi	492	THREE	narawuekoe
690	Sensi	1335	WHITE	hõxõ
691	Sensi	163	BLACK	tšõxö
692	Sensi	156	RED	õzé
693	Sensi	1035	GOOD	iro
694	Sensi	1292	BAD	mitšĕ
695	Sensi	1585	SLEEP	uxe
696	Sensi	1417	KILL	tetĕ
697	Sapibokona	948	WATER	eubi
698	Sapibokona	811	SOUL	einisu
699	Sapibokona	619	ANIMAL	niu
700	Sapibokona	1226	YEAR	mara
701	Sapibokona	1335	WHITE	pazamè
702	Sapibokona	674	MOUTH	ecuacha
703	Sapibokona	1673	ARM	ebbai
704	Sapibokona	2648	HAIR (HEAD)	echau
705	Sapibokona	1256	HEAD	echuja
706	Sapibokona	679	BRIGHT	cuareme
707	Sapibokona	1732	SKY	eucuepana
708	Sapibokona	1540	EYELASH	ejatisa
709	Sapibokona	1333	NECK	etippi
710	Sapibokona	1480	BODY	ecuita
711	Sapibokona	471	UPPER LEG (THIGH)	echuju
712	Sapibokona	1223	HEART	mauzumu
713	Sapibokona	1973	DEMON	isaba
714	Sapibokona	1380	TOOTH	echee
715	Sapibokona	1303	FINGER	emèe
716	Sapibokona	717	SWEET	vitame
717	Sapibokona	962	WOMAN	anu
718	Sapibokona	1560	FACE	ebbù
719	Sapibokona	123	FOREHEAD	emata
720	Sapibokona	1654	LIGHTNING	ilapa
721	Sapibokona	221	FIRE	cuati
722	Sapibokona	1297	LEG	etaa
723	Sapibokona	1225	DAY (NOT NIGHT)	chine
724	Sapibokona	1346	THROAT	etippi
725	Sapibokona	478	LIP	ecuachacubbi
726	Sapibokona	624	LAKE	eubihûre
727	Sapibokona	1205	TONGUE	eana
728	Sapibokona	1313	MOON	bari
729	Sapibokona	1216	MOTHER	cùa
730	Sapibokona	1277	HAND	emè
731	Sapibokona	942	HONEY	uvazaema
732	Sapibokona	1221	NOSE	evi
733	Sapibokona	163	BLACK	eihêru
734	Sapibokona	1233	NIGHT	maetahe
735	Sapibokona	1248	EYE	etua chûru
736	Sapibokona	42	STINKING	guanipuime
737	Sapibokona	706	DARK	appume
738	Sapibokona	1217	FATHER	tata
739	Sapibokona	1217	FATHER	checua
740	Sapibokona	227	FISH	sisi
741	Sapibokona	1592	CHEST	echerù
742	Sapibokona	1301	FOOT	ebbachi
743	Sapibokona	658	RAIN (PRECIPITATION)	nai
744	Sapibokona	156	RED	uchume
745	Sapibokona	857	STONE	tumu
746	Sapibokona	420	FOREST	eihêru
747	Sapibokona	1343	SUN	iseti
748	Sapibokona	1430	STAR	uvanabi
749	Sapibokona	1591	UP	evacuezbù
750	Sapibokona	1228	EARTH (SOIL)	mechi
751	Sapibokona	937	BIRD	buni
752	Sapibokona	960	WIND	veni
753	Sapibokona	1554	MAN	reanci
754	RemoBlanco	692	BRING	niriuta
755	RemoBlanco	1629	EVENING	nabui
757	RemoBlanco	769	ROOF	heuma
758	RemoBlanco	1035	GOOD	iru
759	RemoBlanco	1035	GOOD	hapudisi
760	RemoBlanco	1292	BAD	iruma
761	RemoBlanco	1161	THREAD	kiru
762	RemoBlanco	136	HERE	charuui
763	RemoBlanco	1406	FAR	imama
764	RemoBlanco	1406	FAR	puraha
767	RemoBlanco	1339	MORNING	nabodi
768	RemoBlanco	1339	MORNING	nahodi
769	RemoBlanco	1339	MORNING	sumitiri nauriya
770	RemoBlanco	1174	YESTERDAY	toponotzanidia
771	RemoBlanco	977	ARROW	taua
772	RemoBlanco	977	ARROW	piha
773	RemoBlanco	1423	FIGHT	achinei
774	RemoBlanco	1409	SEE	haibuiru
