DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	FORM
Tacana	827	ROLL	roll	rodar, arrollar, enrollar	tuquiriri-a
Tacana	297	CROOKED	crooked	torcido	turi
Tacana	66	KNEEL	kneel	arrodillarse	tururu
Tacana	2009	DOG	dog	perro	uchi
Tacana	1242	FEW	few	pocos	ucua chidi
Tacana	974	TOBACCO	tobacco	tabaco	umasa
Tacana	1689	SMOKE (INHALE)	smoke (inhale)	fumar	umasa pu
Tacana	1406	FAR	far	lejos	uqueda
Tacana	1759	OLDER BROTHER	older brother	hermano mayor	usi
Tacana	1428	BURNING	burning	arder	utsu-a
Tacana	879	COUGH	cough	toser	utu
Tacana	1200	HUSBAND	husband	marido, esposo	yahue
Tacana	948	WATER	water	agua	yahui
Tacana	1205	TONGUE	tongue	lengua	yana
Tacana	1304	CHILD (YOUNG HUMAN)	child (young human)	niño	yanana
Tacana	1289	BABY	baby	bebé	yanana chidi
Tacana	1482	SHOULDER	shoulder	hombro	yarapa
Tacana	652	PLAIN	plain	llanura	yatsi
Tacana	360	FAN (ACTION)	fan (action)	abanicar, aventar	
Tacana	3898	ACCEPT	accept	aceptar	
Tacana	1434	STAB	stab	achurar, acuchillar	
Tacana	46	HOLLOW OUT	hollow out	ahuecar	
Tacana	1917	TIE	tie	anudar	
Tacana	42	STINKING	stinking	apestando, apestoso	
Tacana	1587	SMELL (STINK)	smell (stink)	apestar, heder, oler mal	
Tacana	999	JOINT	joint	articulaciones	
Tacana	1886	ARMPIT	armpit	axila, sobaco	
Tacana	837	BLUE	blue	azul	
Tacana	3472	DANCE (MOVEMENT)	dance (movement)	baile, danza	
Tacana	138	BATHE	bathe	bañarse	
Tacana	1510	CHIN	chin	barbilla, mentón	
Tacana	1335	WHITE	white	blanco	
Tacana	612	HEAT	heat	calor	
Tacana	1096	SONG	song	canción	
Tacana	1435	HUNT	hunt	cazar	
Tacana	212	FIELD	field	chacra, campo	
Tacana	1860	BEAD	bead	chaquira, perla	
Tacana	269	COOKED	cooked	cocido, cocinado	
Tacana	1711	TELL	tell	contar, narrar	
Tacana	1645	SHORT	short	corto	
Tacana	761	COVER	cover	cubrir	
Tacana	676	SHIT (DEFECATE)	shit (defecate)	defecar	
Tacana	2866	DROP (SOMETHING)	drop (something)	dejar caer	
Tacana	1973	DEMON	demon	demonio	
Tacana	1019	RIGHT	right	derecho	
Tacana	2014	GO DOWN (DESCEND)	go down (descend)	descender	
Tacana	2561	HURT (SENSE PAIN)	hurt (sense pain)	doler	
Tacana	1783	PAIN	pain	dolor	
Tacana	1129	PAINFUL	painful	doloroso	
Tacana	855	SEIZE	seize	embargar	
Tacana	1175	GHOST	ghost	fantasma, espíritu	
Tacana	123	FOREHEAD	forehead	frente (la)	
Tacana	1449	RUB	rub	frotar, enjugar	
Tacana	1507	FRUIT	fruit	fruto	
Tacana	221	FIRE	fire	fuego	
Tacana	307	HAWK	hawk	halcón	
Tacana	1864	HUNGER	hunger	hambre	
Tacana	675	FAECES (EXCREMENT)	faeces (excrement)	heces	
Tacana	3923	FEMALE ANIMAL	female animal	hembra	
Tacana	1224	LIVER	liver	hígado	
Tacana	244	LEFT	left	izquierdo	
Tacana	1250	JAGUAR	jaguar	jaguar	
Tacana	1455	PULL	pull	jalar	
Tacana	635	MILK	milk	leche	
Tacana	320	LAME	lame	lisiado	
Tacana	1234	SMOOTH	smooth	liso	
Tacana	1633	FLAT	flat	llano, plano, chato	
Tacana	640	MUD	mud	lodo	
Tacana	3924	MALE ANIMAL	male animal	macho	
Tacana	1803	WOOD	wood	madera	
