ID	DOCULECT	CONCEPTICON ID	CONCEPTICON_GLOSS	VALUE
1413	Araona_IDS	360	FAN (ACTION)	lepe
1414	Araona_IDS	765	MOVE	liya-liya
1415	Araona_IDS	1444	TURN AROUND	balele-a
1416	Araona_IDS	827	ROLL	haha
1417	Araona_IDS	827	ROLL	pana
1418	Araona_IDS	501	LIFT	doc̷oa
1419	Araona_IDS	1280	FALL	bisa
1420	Araona_IDS	1280	FALL	pai
1421	Araona_IDS	1456	THROW	wanabotea
1422	Araona_IDS	1456	THROW	iša
1423	Araona_IDS	1456	THROW	iša-botea
1424	Araona_IDS	1456	THROW	ha
1425	Araona_IDS	1909	SHAKE	lia
1426	Araona_IDS	1909	SHAKE	toka
1427	Araona_IDS	1574	FLOAT	beza
1428	Araona_IDS	1574	FLOAT	zata
1429	Araona_IDS	1439	SWIM	waoti
1430	Araona_IDS	1441	FLY (MOVE THROUGH AIR)	kʷabec̷a
1431	Araona_IDS	175	BLOW (OF WIND)	wo
1432	Araona_IDS	175	BLOW (OF WIND)	lepe
1433	Araona_IDS	3456	CRAWL OR CREEP	lelo
1434	Araona_IDS	1324	SLIP	bisa
1435	Araona_IDS	1324	SLIP	hewi-šana
1436	Araona_IDS	1829	JUMP	bičena
1437	Araona_IDS	1443	WALK	ahe
1438	Araona_IDS	1519	RUN	hododo
1439	Araona_IDS	695	GO	po
1440	Araona_IDS	695	GO	po-na
1441	Araona_IDS	705	GO UP (ASCEND)	po-c̷oa
1442	Araona_IDS	2014	GO DOWN (DESCEND)	po-bote
1443	Araona_IDS	1107	GO OUT	po-haena
1444	Araona_IDS	1446	COME	pobe-a
1445	Araona_IDS	581	COME BACK	baleweti
1446	Araona_IDS	1752	LEAVE	beo
1447	Araona_IDS	956	FLEE	ana
1448	Araona_IDS	1085	FOLLOW	ti-ana
1449	Araona_IDS	1387	ARRIVE	kʷaiɲati
1450	Araona_IDS	749	ENTER	nobi
1451	Araona_IDS	700	CARRY	dohaena
1452	Araona_IDS	692	BRING	heti
1453	Araona_IDS	692	BRING	dobe-a
1454	Araona_IDS	1127	SEND	beičowiki
1455	Araona_IDS	1127	SEND	ilo
1456	Araona_IDS	1452	PUSH	he-anawiki
1458	Araona_IDS	2252	PATH	dizi
1459	Araona_IDS	1011	BRIDGE	loene
1460	Araona_IDS	1011	BRIDGE	wele
1461	Araona_IDS	1970	CANOE	kanawa
1462	Araona_IDS	855	SEIZE	iɲa
1463	Araona_IDS	738	THING	ai-kana
1464	Araona_IDS	1447	GIVE	ti
1465	Araona_IDS	1447	GIVE	sihi
1466	Araona_IDS	1468	LOOK FOR	c̷a
1467	Araona_IDS	1468	LOOK FOR	c̷anati
1468	Araona_IDS	1869	BUY	kʷaebaha
1469	Araona_IDS	1869	BUY	šowaene
1470	Araona_IDS	1686	BEHIND	bebakʷa bene
1471	Araona_IDS	1606	INSIDE	emeo
1472	Araona_IDS	1606	INSIDE	meo
1473	Araona_IDS	762	OUTSIDE	-na
1474	Araona_IDS	762	OUTSIDE	wiki
1475	Araona_IDS	1485	BELOW OR UNDER	tipao
1476	Araona_IDS	1485	BELOW OR UNDER	tipae
1477	Araona_IDS	1591	UP	bakʷeo
1478	Araona_IDS	1591	UP	mawa
1481	Araona_IDS	998	PUT	iša
1482	Araona_IDS	998	PUT	iša-bote-a
1483	Araona_IDS	1416	SIT	ani
1484	Araona_IDS	215	LIE DOWN	ha-sisa
1485	Araona_IDS	215	LIE DOWN	ha-wana
1486	Araona_IDS	1442	STAND	neti
1487	Araona_IDS	7	GATHER	šodo
1488	Araona_IDS	7	GATHER	bele
1489	Araona_IDS	7	GATHER	zaboboa
1490	Araona_IDS	7	GATHER	pele
1491	Araona_IDS	7	GATHER	bodoa
1492	Araona_IDS	1576	PILE UP	lada
1493	Araona_IDS	1576	PILE UP	lolo-a
1494	Araona_IDS	1743	JOIN	tabo
1495	Araona_IDS	1743	JOIN	pele
1496	Araona_IDS	1743	JOIN	ada
1497	Araona_IDS	1359	SEPARATE	zilo
1498	Araona_IDS	1359	SEPARATE	meiya
1499	Araona_IDS	1156	OPEN	eotata
1500	Araona_IDS	1156	OPEN	silo
1501	Araona_IDS	1046	SHUT	teli
1502	Araona_IDS	1046	SHUT	dilo-ti
1503	Araona_IDS	761	COVER	dilo
1504	Araona_IDS	761	COVER	tomo
1505	Araona_IDS	602	HIDE (CONCEAL)	lobo-ti
1506	Araona_IDS	602	HIDE (CONCEAL)	sipa
1509	Araona_IDS	682	SIDE	bene
1510	Araona_IDS	682	SIDE	pehe
1511	Araona_IDS	3208	CENTER OR MIDDLE	mioso
1512	Araona_IDS	1019	RIGHT	me-anai bene
1513	Araona_IDS	244	LEFT	zania bene
1514	Araona_IDS	1942	NEAR	hakʷepati
1515	Araona_IDS	1942	NEAR	c̷awa
1516	Araona_IDS	1406	FAR	okʷeda
1517	Araona_IDS	1406	FAR	aokʷe
1518	Araona_IDS	479	GROW	hewa
1519	Araona_IDS	479	GROW	esi
1520	Araona_IDS	1202	BIG	haliǰa
1521	Araona_IDS	1246	SMALL	lopo
1522	Araona_IDS	1203	LONG	abao
1523	Araona_IDS	1203	LONG	aokʷe
1524	Araona_IDS	1645	SHORT	a-poko-poko
1525	Araona_IDS	1243	WIDE	wisoi-ono-kata
1526	Araona_IDS	1267	NARROW	kʷiwio
1527	Araona_IDS	1244	THICK	apamotihi
1528	Araona_IDS	1593	DEEP	adoe
1529	Araona_IDS	1633	FLAT	a-pac̷a-pac̷a
1530	Araona_IDS	1633	FLAT	pešošoihi
1531	Araona_IDS	1404	STRAIGHT	apia
1532	Araona_IDS	1404	STRAIGHT	ateli
1533	Araona_IDS	1404	STRAIGHT	piǰa
1534	Araona_IDS	297	CROOKED	a-wac̷o-wac̷o
1535	Araona_IDS	297	CROOKED	ano-ano-a
1536	Araona_IDS	297	CROOKED	atoli
1539	Araona_IDS	1667	HOLE	talale
1540	Araona_IDS	1493	ONE	peada
1541	Araona_IDS	1493	ONE	peada-we
1542	Araona_IDS	1498	TWO	beta
1543	Araona_IDS	1498	TWO	beta-kata
1544	Araona_IDS	492	THREE	kimiša
1545	Araona_IDS	1500	FOUR	wac̷eda wac̷eda
1546	Araona_IDS	98	ALL	babaowe
1547	Araona_IDS	1198	MANY	apamo
1548	Araona_IDS	1198	MANY	kʷeme
1549	Araona_IDS	1242	FEW	beta
1550	Araona_IDS	1242	FEW	zeiye
1551	Araona_IDS	1429	FULL	hehe-a
1552	Araona_IDS	1429	FULL	mata
1553	Araona_IDS	1624	EMPTY	mehewe
1554	Araona_IDS	1580	ONLY	bedaokʷa
1555	Araona_IDS	728	FIRST	-bec̷ota
1556	Araona_IDS	1231	NEW	šakʷa
1557	Araona_IDS	1231	NEW	-nana
1558	Araona_IDS	1207	YOUNG	asemimihi
1559	Araona_IDS	1207	YOUNG	-nana
1560	Araona_IDS	1229	OLD	esi
1561	Araona_IDS	1229	OLD	poisa
