CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH	PORTUGUESE
1996	GET TIRED	get tired	cansar(se)	
2003	FLOW	flow	fluir, correr	fluir
2004	BEND	bend	encorvar, doblar	dobrar, curvar
2009	DOG	dog	perro	cão, cachorro
2012	COLLAR	collar	collar	colarinho
2014	GO DOWN (DESCEND)	go down (descend)	descender	descer, baixar
2015	MAKE DRY	make dry	secar	
2017	MIX	mix	mezclar, mixturar	misturar, mexer
2019	HAMMOCK	hammock	hamaca, chinchorro	rede
2069	SOAK (VERB)	soak (verb)	mojar	
2070	COMB (VERB)	comb (verb)	peinar	
2102	BURN	burn	quemar, arder	queimar
2106	MALE PERSON	male person	varón, hombre	
2108	RAINING OR RAIN	raining or rain	lluvia	
2110	WARM (OF WEATHER)	warm (of weather)	cálido	
2112	OLD (AGED)	old (aged)	viejo	
2113	OLD (USED)	old (used)	usado	
2117	DESIRE	desire	desear	
2124	SMELL	smell	olor	cheirar
2142	RUN AWAY	run away	escapar	
2144	SPRING OR WELL	spring or well	pozo, manantial	nascente, poço
2159	GROUND	ground	piso	
2215	BECOME ANGRY	become angry	enojarse	
2223	BE ANGRY	be angry	enojado	
2248	KNOW (SOMEBODY)	know (somebody)	conocer a alguien	
2252	PATH	path	trocha	caminho, vereda
2259	FLESH	flesh	carne	carne
2271	THINK	think	pensar	pensar
2272	HOT OR WARM	hot or warm	caliente	quente
2295	SUNSET	sunset	atardecer, puesta de sol	
2296	SUNRISE	sunrise	amanecer	
2297	DUSK	dusk	anochecer, atardecer	
2308	THIN	thin	delgado	fino
2319	LID (COVER, CAP)	lid (cover, cap)	tapa	
2324	GET WET	get wet	mojarse	
2327	BECOME SICK	become sick	enfermarse, estar enfermo	
2334	MELT	melt	derretir	
2341	CLOUDY	cloudy	nublado	
2374	DREAM	dream	sueño	SONHO / SONHAR
